STATION,YEAR,MONTH,TEMPERATURE_C
GWALIOR,2003,8,33.6
GWALIOR,2003,9,29.6
GWALIOR,2003,10,23.0
GWALIOR,2003,11,19.2
GWALIOR,2003,12,13.3
GWALIOR,2004,1,13.9
GWALIOR,2004,2,17.4
GWALIOR,2004,3,19.0
GWALIOR,2004,4,25.5
GWALIOR,2004,5,31.6
GWALIOR,2004,6,36.1
GWALIOR,2004,7,37.2
GWALIOR,2004,8,35.0
GWALIOR,2004,9,27.2
GWALIOR,2004,10,25.2
GWALIOR,2004,11,16.9
GWALIOR,2004,12,12.9
GWALIOR,2005,1,13.9
GWALIOR,2005,2,18.2
GWALIOR,2005,3,20.8
GWALIOR,2005,4,23.7
GWALIOR,2005,5,30.5
GWALIOR,2005,6,35.9
GWALIOR,2005,7,38.6
GWALIOR,2005,8,31.9
GWALIOR,2005,9,27.7
GWALIOR,2005,10,27.3
GWALIOR,2005,11,18.2
GWALIOR,2005,12,14.2
GWALIOR,2006,1,14.6
GWALIOR,2006,2,17.4
GWALIOR,2006,3,18.6
GWALIOR,2006,4,23.4
GWALIOR,2006,5,34.2
GWALIOR,2006,6,34.2
GWALIOR,2006,7,37.6
GWALIOR,2006,8,36.2
GWALIOR,2006,9,31.0
GWALIOR,2006,10,25.0
GWALIOR,2006,11,18.8
GWALIOR,2006,12,13.9
GWALIOR,2007,1,16.2
GWALIOR,2007,2,14.0
GWALIOR,2007,3,18.3
GWALIOR,2007,4,25.7
GWALIOR,2007,5,31.9
GWALIOR,2007,6,33.1
GWALIOR,2007,7,37.3
GWALIOR,2007,8,39.9
GWALIOR,2007,9,32.0
GWALIOR,2007,10,23.9
GWALIOR,2007,11,17.8
GWALIOR,2007,12,13.7
GWALIOR,2008,1,14.5
GWALIOR,2008,2,15.1
GWALIOR,2008,3,17.2
GWALIOR,2008,4,24.4
GWALIOR,2008,5,34.9
GWALIOR,2008,6,36.4
GWALIOR,2008,7,36.8
GWALIOR,2008,8,32.4
GWALIOR,2008,9,31.9
GWALIOR,2008,10,25.2
GWALIOR,2008,11,18.2
GWALIOR,2008,12,13.9
GWALIOR,2009,1,12.3
GWALIOR,2009,2,14.5
GWALIOR,2009,3,18.9
GWALIOR,2009,4,27.5
GWALIOR,2009,5,29.7
GWALIOR,2009,6,38.1
GWALIOR,2009,7,43.3
GWALIOR,2009,8,35.8
GWALIOR,2009,9,31.6
GWALIOR,2009,10,26.3
GWALIOR,2009,11,19.2
GWALIOR,2009,12,14.3
GWALIOR,2010,1,15.3
GWALIOR,2010,2,8.7
GWALIOR,2010,3,19.4
GWALIOR,2010,4,24.2
GWALIOR,2010,5,32.9
GWALIOR,2010,6,36.2
GWALIOR,2010,7,34.2
GWALIOR,2010,8,37.1
GWALIOR,2010,9,32.0
GWALIOR,2010,10,26.0
GWALIOR,2010,11,19.9
GWALIOR,2010,12,16.1
GWALIOR,2011,1,14.4
GWALIOR,2011,2,16.7
GWALIOR,2011,3,17.2
GWALIOR,2011,4,23.5
GWALIOR,2011,5,30.7
GWALIOR,2011,6,34.8
GWALIOR,2011,7,37.4
GWALIOR,2011,8,33.8
GWALIOR,2011,9,32.9
GWALIOR,2011,10,23.5
GWALIOR,2011,11,17.1
GWALIOR,2011,12,14.2
GWALIOR,2012,1,9.0
GWALIOR,2012,2,12.1
GWALIOR,2012,3,19.6
GWALIOR,2012,4,22.4
GWALIOR,2012,5,31.4
GWALIOR,2012,6,37.9
GWALIOR,2012,7,36.0
GWALIOR,2012,8,33.4
GWALIOR,2012,9,32.0
GWALIOR,2012,10,30.5
GWALIOR,2012,11,18.0
GWALIOR,2012,12,11.1
GWALIOR,2013,1,12.2
GWALIOR,2013,2,14.9
GWALIOR,2013,3,21.2
GWALIOR,2013,4,25.0
GWALIOR,2013,5,31.3
GWALIOR,2013,6,33.7
GWALIOR,2013,7,36.4
GWALIOR,2013,8,33.8
GWALIOR,2013,9,32.7
GWALIOR,2013,10,25.4
GWALIOR,2013,11,18.7
GWALIOR,2013,12,14.4
GWALIOR,2014,1,11.8
GWALIOR,2014,2,14.3
GWALIOR,2014,3,20.9
GWALIOR,2014,4,27.5
GWALIOR,2014,5,31.4
GWALIOR,2014,6,34.8
GWALIOR,2014,7,39.4
GWALIOR,2014,8,34.5
GWALIOR,2014,9,32.2
GWALIOR,2014,10,20.4
GWALIOR,2014,11,16.6
GWALIOR,2014,12,14.3
GWALIOR,2015,1,15.9
GWALIOR,2015,2,15.2
GWALIOR,2015,3,16.7
GWALIOR,2015,4,24.8
GWALIOR,2015,5,28.9
GWALIOR,2015,6,37.0
GWALIOR,2015,7,35.2
GWALIOR,2015,8,37.6
GWALIOR,2015,9,34.3
GWALIOR,2015,10,26.3
GWALIOR,2015,11,20.2
GWALIOR,2015,12,14.3
GWALIOR,2016,1,11.0
GWALIOR,2016,2,13.6
GWALIOR,2016,3,17.0
GWALIOR,2016,4,24.6
GWALIOR,2016,5,32.6
GWALIOR,2016,6,34.9
GWALIOR,2016,7,38.1
GWALIOR,2016,8,37.6
GWALIOR,2016,9,32.4
GWALIOR,2016,10,25.0
GWALIOR,2016,11,20.2
GWALIOR,2016,12,13.5
GWALIOR,2017,1,16.1
GWALIOR,2017,2,11.7
GWALIOR,2017,3,19.1
GWALIOR,2017,4,25.5
GWALIOR,2017,5,34.0
GWALIOR,2017,6,33.7
GWALIOR,2017,7,33.7
GWALIOR,2017,8,38.7
GWALIOR,2017,9,31.5
GWALIOR,2017,10,23.8
GWALIOR,2017,11,18.4
GWALIOR,2017,12,15.7
GWALIOR,2018,1,13.5
GWALIOR,2018,2,16.9
GWALIOR,2018,3,17.0
GWALIOR,2018,4,22.5
GWALIOR,2018,5,31.9
GWALIOR,2018,6,35.2
GWALIOR,2018,7,37.3
GWALIOR,2018,8,39.6
GWALIOR,2018,9,31.4
GWALIOR,2018,10,25.0
GWALIOR,2018,11,18.3
GWALIOR,2018,12,17.4
GWALIOR,2019,1,16.1
GWALIOR,2019,2,14.1
GWALIOR,2019,3,20.2
GWALIOR,2019,4,25.9
GWALIOR,2019,5,28.3
GWALIOR,2019,6,34.1
GWALIOR,2019,7,37.0
GWALIOR,2019,8,36.4
GWALIOR,2019,9,30.6
GWALIOR,2019,10,22.4
GWALIOR,2019,11,19.9
GWALIOR,2019,12,15.3
GWALIOR,2020,1,13.0
GWALIOR,2020,2,15.8
GWALIOR,2020,3,18.1
GWALIOR,2020,4,25.5
GWALIOR,2020,5,30.9
GWALIOR,2020,6,34.9
GWALIOR,2020,7,35.7
GWALIOR,2020,8,35.0
GWALIOR,2020,9,33.6
GWALIOR,2020,10,23.8
GWALIOR,2020,11,21.0
GWALIOR,2020,12,16.2
GWALIOR,2021,1,14.8
GWALIOR,2021,2,16.1
GWALIOR,2021,3,17.1
GWALIOR,2021,4,26.4
GWALIOR,2021,5,32.2
GWALIOR,2021,6,32.3
GWALIOR,2021,7,37.2
GWALIOR,2021,8,32.7
GWALIOR,2021,9,32.8
GWALIOR,2021,10,28.0
GWALIOR,2021,11,19.0
GWALIOR,2021,12,15.3
GWALIOR,2022,1,12.2
GWALIOR,2022,2,15.0
GWALIOR,2022,3,19.8
GWALIOR,2022,4,22.9
GWALIOR,2022,5,33.4
GWALIOR,2022,6,36.0
GWALIOR,2022,7,36.8
GWALIOR,2022,8,34.4
GWALIOR,2022,9,31.1
GWALIOR,2022,10,22.8
GWALIOR,2022,11,16.7
GWALIOR,2022,12,15.5
GWALIOR,2023,1,11.6
GWALIOR,2023,2,12.6
GWALIOR,2023,3,19.9
GWALIOR,2023,4,24.5
GWALIOR,2023,5,33.8
GWALIOR,2023,6,37.4
GWALIOR,2023,7,35.4
GWALIOR,2023,8,36.4
GWALIOR,2023,9,33.8
GWALIOR,2023,10,22.0
GWALIOR,2023,11,17.0
GWALIOR,2023,12,15.1
