STATION,YEAR,MONTH,RAINFALL_MM
GWALIOR,2003,9,37.0
GWALIOR,2003,10,0.8
GWALIOR,2003,11,2.4
GWALIOR,2003,12,0.5
GWALIOR,2004,1,8.4
GWALIOR,2004,2,0.0
GWALIOR,2004,3,3.0
GWALIOR,2004,4,19.2
GWALIOR,2004,5,24.1
GWALIOR,2004,6,67.8
GWALIOR,2004,7,57.1
GWALIOR,2004,8,79.3
GWALIOR,2004,9,77.4
GWALIOR,2004,10,0.0
GWALIOR,2004,11,8.2
GWALIOR,2004,12,30.3
GWALIOR,2005,1,24.4
GWALIOR,2005,2,0.0
GWALIOR,2005,3,0.0
GWALIOR,2005,4,25.0
GWALIOR,2005,5,32.8
GWALIOR,2005,6,85.8
GWALIOR,2005,7,77.3
GWALIOR,2005,8,95.9
GWALIOR,2005,9,106.1
GWALIOR,2005,10,25.7
GWALIOR,2005,11,0.0
GWALIOR,2005,12,0.0
GWALIOR,2006,1,0.0
GWALIOR,2006,2,31.2
GWALIOR,2006,3,0.0
GWALIOR,2006,4,0.0
GWALIOR,2006,5,24.3
GWALIOR,2006,6,55.3
GWALIOR,2006,7,79.5
GWALIOR,2006,8,63.8
GWALIOR,2006,9,70.5
GWALIOR,2006,10,15.9
GWALIOR,2006,11,0.0
GWALIOR,2006,12,3.2
GWALIOR,2007,1,0.0
GWALIOR,2007,2,16.2
GWALIOR,2007,3,18.9
GWALIOR,2007,4,28.5
GWALIOR,2007,5,2.9
GWALIOR,2007,6,48.6
GWALIOR,2007,7,56.1
GWALIOR,2007,8,114.7
GWALIOR,2007,9,92.8
GWALIOR,2007,10,0.0
GWALIOR,2007,11,0.0
GWALIOR,2007,12,1.6
GWALIOR,2008,1,0.0
GWALIOR,2008,2,0.0
GWALIOR,2008,3,46.5
GWALIOR,2008,4,0.0
GWALIOR,2008,5,27.0
GWALIOR,2008,6,55.4
GWALIOR,2008,7,70.7
GWALIOR,2008,8,132.9
GWALIOR,2008,9,85.1
GWALIOR,2008,10,26.7
GWALIOR,2008,11,11.2
GWALIOR,2008,12,10.4
GWALIOR,2009,1,17.4
GWALIOR,2009,2,12.5
GWALIOR,2009,3,27.5
GWALIOR,2009,4,0.0
GWALIOR,2009,5,0.0
GWALIOR,2009,6,68.1
GWALIOR,2009,7,37.3
GWALIOR,2009,8,101.1
GWALIOR,2009,9,78.9
GWALIOR,2009,10,15.4
GWALIOR,2009,11,16.1
GWALIOR,2009,12,1.1
GWALIOR,2010,1,1.1
GWALIOR,2010,2,16.9
GWALIOR,2010,3,18.1
GWALIOR,2010,4,4.6
GWALIOR,2010,5,27.5
GWALIOR,2010,6,64.5
GWALIOR,2010,7,60.6
GWALIOR,2010,8,67.5
GWALIOR,2010,9,99.1
GWALIOR,2010,10,19.5
GWALIOR,2010,11,0.0
GWALIOR,2010,12,21.0
GWALIOR,2011,1,28.8
GWALIOR,2011,2,12.0
GWALIOR,2011,3,4.5
GWALIOR,2011,4,1.7
GWALIOR,2011,5,0.0
GWALIOR,2011,6,64.2
GWALIOR,2011,7,42.1
GWALIOR,2011,8,80.0
GWALIOR,2011,9,93.2
GWALIOR,2011,10,0.0
GWALIOR,2011,11,0.0
GWALIOR,2011,12,21.6
GWALIOR,2012,1,0.0
GWALIOR,2012,2,17.7
GWALIOR,2012,3,6.2
GWALIOR,2012,4,32.2
GWALIOR,2012,5,0.0
GWALIOR,2012,6,116.0
GWALIOR,2012,7,84.2
GWALIOR,2012,8,96.1
GWALIOR,2012,9,89.5
GWALIOR,2012,10,26.2
GWALIOR,2012,11,12.8
GWALIOR,2012,12,4.5
GWALIOR,2013,1,0.0
GWALIOR,2013,2,0.0
GWALIOR,2013,3,0.0
GWALIOR,2013,4,5.0
GWALIOR,2013,5,0.0
GWALIOR,2013,6,96.5
GWALIOR,2013,7,66.8
GWALIOR,2013,8,53.1
GWALIOR,2013,9,70.5
GWALIOR,2013,10,10.3
GWALIOR,2013,11,22.0
GWALIOR,2013,12,12.8
GWALIOR,2014,1,10.3
GWALIOR,2014,2,0.0
GWALIOR,2014,3,33.5
GWALIOR,2014,4,24.3
GWALIOR,2014,5,6.8
GWALIOR,2014,6,67.6
GWALIOR,2014,7,92.3
GWALIOR,2014,8,77.2
GWALIOR,2014,9,80.0
GWALIOR,2014,10,0.0
GWALIOR,2014,11,0.0
GWALIOR,2014,12,0.0
GWALIOR,2015,1,0.0
GWALIOR,2015,2,11.5
GWALIOR,2015,3,17.4
GWALIOR,2015,4,25.8
GWALIOR,2015,5,18.4
GWALIOR,2015,6,48.9
GWALIOR,2015,7,87.5
GWALIOR,2015,8,62.6
GWALIOR,2015,9,56.2
GWALIOR,2015,10,0.0
GWALIOR,2015,11,0.0
GWALIOR,2015,12,0.0
GWALIOR,2016,1,5.8
GWALIOR,2016,2,19.8
GWALIOR,2016,3,0.4
GWALIOR,2016,4,0.0
GWALIOR,2016,5,53.3
GWALIOR,2016,6,79.6
GWALIOR,2016,7,80.4
GWALIOR,2016,8,56.4
GWALIOR,2016,9,94.3
GWALIOR,2016,10,13.8
GWALIOR,2016,11,18.5
GWALIOR,2016,12,0.0
GWALIOR,2017,1,7.0
GWALIOR,2017,2,0.0
GWALIOR,2017,3,8.3
GWALIOR,2017,4,8.5
GWALIOR,2017,5,0.5
GWALIOR,2017,6,48.0
GWALIOR,2017,7,77.9
GWALIOR,2017,8,76.5
GWALIOR,2017,9,80.4
GWALIOR,2017,10,0.0
GWALIOR,2017,11,0.0
GWALIOR,2017,12,30.6
GWALIOR,2018,1,0.0
GWALIOR,2018,2,15.0
GWALIOR,2018,3,36.6
GWALIOR,2018,4,0.0
GWALIOR,2018,5,0.3
GWALIOR,2018,6,99.7
GWALIOR,2018,7,73.6
GWALIOR,2018,8,63.3
GWALIOR,2018,9,47.8
GWALIOR,2018,10,45.5
GWALIOR,2018,11,1.2
GWALIOR,2018,12,1.4
GWALIOR,2019,1,0.0
GWALIOR,2019,2,0.0
GWALIOR,2019,3,0.0
GWALIOR,2019,4,0.0
GWALIOR,2019,5,45.5
GWALIOR,2019,6,83.8
GWALIOR,2019,7,88.5
GWALIOR,2019,8,67.2
GWALIOR,2019,9,116.1
GWALIOR,2019,10,19.4
GWALIOR,2019,11,0.0
GWALIOR,2019,12,34.7
GWALIOR,2020,1,0.0
GWALIOR,2020,2,0.0
GWALIOR,2020,3,22.6
GWALIOR,2020,4,0.0
GWALIOR,2020,5,0.0
GWALIOR,2020,6,122.0
GWALIOR,2020,7,72.8
GWALIOR,2020,8,94.9
GWALIOR,2020,9,67.0
GWALIOR,2020,10,33.4
GWALIOR,2020,11,0.0
GWALIOR,2020,12,0.0
GWALIOR,2021,1,0.0
GWALIOR,2021,2,0.0
GWALIOR,2021,3,5.3
GWALIOR,2021,4,0.0
GWALIOR,2021,5,7.1
GWALIOR,2021,6,119.5
GWALIOR,2021,7,112.3
GWALIOR,2021,8,62.0
GWALIOR,2021,9,76.2
GWALIOR,2021,10,2.4
GWALIOR,2021,11,0.0
GWALIOR,2021,12,0.0
GWALIOR,2022,1,22.7
GWALIOR,2022,2,0.0
GWALIOR,2022,3,13.7
GWALIOR,2022,4,29.7
GWALIOR,2022,5,18.6
GWALIOR,2022,6,44.4
GWALIOR,2022,7,69.9
GWALIOR,2022,8,87.0
GWALIOR,2022,9,66.5
GWALIOR,2022,10,0.0
GWALIOR,2022,11,18.6
GWALIOR,2022,12,18.3
GWALIOR,2023,1,0.0
GWALIOR,2023,2,28.9
GWALIOR,2023,3,0.0
GWALIOR,2023,4,20.7
GWALIOR,2023,5,0.0
GWALIOR,2023,6,114.8
GWALIOR,2023,7,81.7
GWALIOR,2023,8,63.4
GWALIOR,2023,9,88.4
GWALIOR,2023,10,18.0
GWALIOR,2023,11,26.0
GWALIOR,2023,12,0.0
